Name,Cinsiyet,Doğum Yılı,Eğitim Durumu,Sınıf (üni),Kayıtlı olduğun üniversite,Kayıtlı olduğun bölüm,Mezun olduğun üniversite,Mezun olduğun bölüm
recmD8k4a874bVRLX,Kadın,2003,Lisans,3,Fırat Üniversitesi (Elazığ),Moleküler Biyoloji ve Genetik (İngilizce),,
recz5ae07pNPjirV4,Kadın,2004,Lisans,Hazırlık,Necmettin Erbakan Üniversitesi (Konya),Endüstri Mühendisliği (İngilizce),,
recZ64WbIf09bkbz1,Kadın,2002,Lisans,2,İzmir Yüksek Teknoloji Enstitüsü,Gıda Mühendisliği (İngilizce),,
reciBiL1gx9GUXmdU,Kadın,2002,Lisans,4,İnönü Üniversitesi (Malatya),Yazılım Mühendisliği,,
rechF2KG2KTCTcA0g,Kadın,2003,Lisans,2,Hacettepe Üniversitesi (Ankara),İstatistik,,
rec89xhuQG4wV6Rl5,Erkek,2003,Lisans,2,Marmara Üniversitesi (İstanbul),Endüstri Mühendisliği (İngilizce),,
recd2MAcBfDeTOBO3,Kadın,2010,Lise,,,,,
receTK2KAvks4WFiu,Kadın,2010,Lise,,,,,
recexLDyDQOfp8PT1,Kadın,2003,Lisans,4,Nişantaşı Üniversitesi (İstanbul),Mekatronik Mühendisliği,,
recl9jvOQIOc1lTIm,Kadın,2002,Lisans,2,Yıldız Teknik Üniversitesi,Kimya (İngilizce),,
recbaNMkNxBX0RAI8,Kadın,2006,Lise Mezunu,,,,,
recmgrAL6z78yjgKp,Kadın,2004,Lisans,1,Konya Gıda Ve Tarım Üniversitesi,Yönetim Bilişim Sistemleri (İngilizce),,
recAErCbjNeNrKp1b,Kadın,2001,Lisans,4,İstanbul Teknik Üniversitesi,Tekstil Mühendisliği,,
rec7qpukUwaQRVCVH,Kadın,2004,Lisans,3,Bartın Üniversitesi,Bilgisayar Mühendisliği,,
reczkl5h3malTOu46,Kadın,2000,Lisans Mezunu,,,,Orta Doğu Teknik Üniversitesi (Ankara),Matematik (İngilizce)
reclGEvTz9H91HqBF,Kadın,2010,Lise,,,,,
recCnCIqyXLIf2DpX,Kadın,1996,Lisans Mezunu,,,,İhsan Doğramacı Bilkent Üniversitesi (Ankara),Uluslararası İlişkiler (İngilizce)
